filename,audio_path,transcript,region,category
sentence_01.wav,dataset/chunks/barishal/bar_cate_01/sentence_01.wav,আপনি কোথা থেকে এসেছেন?,barishal,bar_cate_01
sentence_02.wav,dataset/chunks/barishal/bar_cate_01/sentence_02.wav,আপনার নাম কী?,barishal,bar_cate_01
sentence_03.wav,dataset/chunks/barishal/bar_cate_01/sentence_03.wav,আমার নাম জন।,barishal,bar_cate_01
sentence_04.wav,dataset/chunks/barishal/bar_cate_01/sentence_04.wav,আপনার সাথে পরিচিত হয়ে ভালো লাগলো।,barishal,bar_cate_01
sentence_05.wav,dataset/chunks/barishal/bar_cate_01/sentence_05.wav,আমি এই এলাকায় নতুন।,barishal,bar_cate_01
sentence_06.wav,dataset/chunks/barishal/bar_cate_01/sentence_06.wav,আপনি কি এখানে থাকেন?,barishal,bar_cate_01
sentence_07.wav,dataset/chunks/barishal/bar_cate_01/sentence_07.wav,আপনি কি প্রথমবার এখানে এসেছেন?,barishal,bar_cate_01
sentence_08.wav,dataset/chunks/barishal/bar_cate_01/sentence_08.wav,আমি বাংলাদেশে ভ্রমণে এসেছি।,barishal,bar_cate_01
sentence_09.wav,dataset/chunks/barishal/bar_cate_01/sentence_09.wav,আপনি কী করেন?,barishal,bar_cate_01
sentence_10.wav,dataset/chunks/barishal/bar_cate_01/sentence_10.wav,আমি একজন ছাত্র।,barishal,bar_cate_01
sentence_11.wav,dataset/chunks/barishal/bar_cate_01/sentence_11.wav,আপনার বাড়ি কোথায়?,barishal,bar_cate_01
sentence_12.wav,dataset/chunks/barishal/bar_cate_01/sentence_12.wav,আপনি কেমন আছেন?,barishal,bar_cate_01
sentence_13.wav,dataset/chunks/barishal/bar_cate_01/sentence_13.wav,আমি ভালো আছি।,barishal,bar_cate_01
sentence_14.wav,dataset/chunks/barishal/bar_cate_01/sentence_14.wav,অনেক দিন পর দেখা হলো।,barishal,bar_cate_01
sentence_15.wav,dataset/chunks/barishal/bar_cate_01/sentence_15.wav,আপনাকে আবার দেখে ভালো লাগছে।,barishal,bar_cate_01
sentence_16.wav,dataset/chunks/barishal/bar_cate_01/sentence_16.wav,আপনি কি আমাকে সাহায্য করতে পারবেন?,barishal,bar_cate_01
sentence_17.wav,dataset/chunks/barishal/bar_cate_01/sentence_17.wav,আপনার সাথে কথা বলে ভালো লাগছে।,barishal,bar_cate_01
sentence_18.wav,dataset/chunks/barishal/bar_cate_01/sentence_18.wav,আমি এখানে কাজের জন্য এসেছি।,barishal,bar_cate_01
sentence_19.wav,dataset/chunks/barishal/bar_cate_01/sentence_19.wav,আপনি কোন দেশ থেকে এসেছেন?,barishal,bar_cate_01
sentence_20.wav,dataset/chunks/barishal/bar_cate_01/sentence_20.wav,আমি ইংরেজি বলতে পারি।,barishal,bar_cate_01
sentence_21.wav,dataset/chunks/barishal/bar_cate_01/sentence_21.wav,আপনি কি বাংলা বলতে পারেন?,barishal,bar_cate_01
sentence_22.wav,dataset/chunks/barishal/bar_cate_01/sentence_22.wav,আমি বাংলা শিখছি।,barishal,bar_cate_01
sentence_23.wav,dataset/chunks/barishal/bar_cate_01/sentence_23.wav,ধন্যবাদ আপনাকে।,barishal,bar_cate_01
sentence_24.wav,dataset/chunks/barishal/bar_cate_01/sentence_24.wav,আপনাকে স্বাগতম।,barishal,bar_cate_01
sentence_25.wav,dataset/chunks/barishal/bar_cate_01/sentence_25.wav,আপনার বয়স কত?,barishal,bar_cate_01
sentence_26.wav,dataset/chunks/barishal/bar_cate_01/sentence_26.wav,আমি এখানে পড়াশোনা করছি।,barishal,bar_cate_01
sentence_27.wav,dataset/chunks/barishal/bar_cate_01/sentence_27.wav,আমি এই শহরটি পছন্দ করি।,barishal,bar_cate_01
sentence_28.wav,dataset/chunks/barishal/bar_cate_01/sentence_28.wav,আপনার পরিবার কেমন আছে?,barishal,bar_cate_01
sentence_29.wav,dataset/chunks/barishal/bar_cate_01/sentence_29.wav,আপনার সাথে দেখা করতে পেরে আনন্দিত।,barishal,bar_cate_01
sentence_30.wav,dataset/chunks/barishal/bar_cate_01/sentence_30.wav,আপনি কি এখানে দীর্ঘদিন থাকবেন?,barishal,bar_cate_01
sentence_31.wav,dataset/chunks/barishal/bar_cate_01/sentence_31.wav,আমি কয়েকদিনের জন্য এসেছি।,barishal,bar_cate_01
sentence_32.wav,dataset/chunks/barishal/bar_cate_01/sentence_32.wav,আপনার সাথে যোগাযোগ রাখতে চাই।,barishal,bar_cate_01
sentence_33.wav,dataset/chunks/barishal/bar_cate_01/sentence_33.wav,এটা আমার প্রথম সফর।,barishal,bar_cate_01
